971	学会	2
71	学園	10
278	学生	2
1007	学界	1
1757	守り	1
1320	守備	1
294	安	1
654	安倍	4
1313	安打	1
1185	官僚	1
854	官房	2
1062	官製	1
1698	定時	1
1207	定期	1
1321	定評	1
1522	定食	1
1493	実	1
218	実効	1
1454	実態	2
674	実施	4
510	実現	4
1256	実験	1
1500	客足	1
1293	宣言	4
582	宮内	1
458	宮崎	2
1357	害虫	1
377	家	5
610	家屋	1
1420	容姿	1
312	容疑	8
234	密告	1
1688	寝台	1
865	審査	2
858	審議	2
166	寸断	1
1539	対	1
188	対処	1
768	対局	1
217	対応	8
846	対戦	1
1160	対決	1
1299	対立	1
487	対策	5
1541	対話	1
1563	対象	1
1532	寿司	1
1597	専門	1
1678	専門医	1
1640	将棋	1
371	導入	2
970	小児	1
1371	小出	1
538	小型	2
1595	小売り	1
1029	小学校	1
105	小林	1
1680	小池	1
1155	小笠原	1
485	少子化	1
966	少量	1
129	就任	3
1170	就寝	1
579	局	2
761	局地	1
1657	屋内	1
1584	展	1
838	山	1
49	山口組	2
75	山本	2
892	岡崎	1
1327	岩手	1
1805	岱鋼	1
879	岳	1
905	川崎	3
1202	左	2
661	巨人	2
1337	差し押さえ	1
53	市	19
1141	市区	1
1349	市場	4
1615	市民	1
1418	市立	1
1623	布団	1
833	席	1
1528	帯	1
1206	平	1
1579	平壌	1
131	年	19
1767	年内	1
1031	年度	2
16	年来	1
1505	年間	2
76	幸三	1
1609	幻	1
1785	幻惑	1
1085	幻滅	1
813	幼少	1
724	幼稚園	3
542	広告	1
923	広域	1
1832	広報	1
643	広島	3
887	広瀬	1
597	広角	1
1048	店舗	2
66	府	6
60	府警	4
1761	度目	1
1362	廃止	1
518	建設	2
1590	弁護士	1
1455	弊害	2
840	式	1
1091	強	1
569	強化	3
1089	強弁	1
1544	強調	1
520	強風	1
1747	弾道	1
523	当初	1
728	当局	2
1810	彩	1
1551	影	1
1555	影響	3
334	役	1
1188	役人	1
1229	役員	1
1566	役所	1
43	彼	1
40	後	5
1227	後半	2
1180	従業	1
336	復帰	4
1050	復旧	1
420	復活	2
800	徹	1
629	徹底	1
1018	心	2
738	必要	1
428	念頭	1
1773	怒り	2
1053	思い	2
373	思想	1
219	性	13
851	怪文書	2
679	恐れ	2
602	恐怖	2
1572	恥	1
1305	恩人	1
1621	息子	1
499	恵	2
1714	悔し涙	1
1	悠里	1
1421	悪口	1
1655	悪天候	1
574	悪質	1
739	情報	3
694	想定	1
68	意向	4
1492	意思	1
1537	意見	1
564	愛好	1
1132	愛媛	1
381	感	1
982	感染	2
1835	感謝	1
1162	慎之介	1
955	慎重	2
236	懸念	1
417	成功	1
1286	成果	1
215	成立	6
